[2024-03-08T10:11:09,598][INFO ][logstash.inputs.jdbc     ][main][fa5ffd8b20df9e8eaffdd3650df469fe1d612eb13afe6ee06dc45a3bda7f6a04] (0.004198s) SELECT * FROM typeelementresult  
[2024-03-08T10:11:09,600][INFO ][logstash.inputs.jdbc     ][main][a798cde71442239c4a7210903aa0b4864da698bb209fcd4a46db7120373aa5d8] (0.001977s) SELECT * FROM tubeprelevement
[2024-03-08T10:11:10,405][INFO ][logstash.inputs.jdbc     ][main][6313eec7ec89ecfa017130fdce37ff9bdc876487edd7bd1b9158722c8c071197] (0.002791s) SELECT * FROM catagorie 
[2024-03-08T10:11:10,405][INFO ][logstash.inputs.jdbc     ][main][5447fc8cbf3c06871ccee0bf175a2d6be6122742c2e86a3266e23acc51d15772] (0.002791s) SELECT * FROM automate
[2024-03-08T10:11:11,825][INFO ][logstash.inputs.jdbc     ][main][096f89540caf784209fce40cad1ab279fa640c05386a467f9b62d201a1ef20a5] (0.002446s) SELECT * FROM automatesexamen 
[2024-03-08T10:11:36,955][INFO ][logstash.inputs.jdbc     ][main][7c56dfe22fbd8bf0973397811da6942a0b64b409c232562102a88f6ef4c47adf] (0.002758s) SELECT * FROM parametres  
[2024-03-08T10:12:00,676][INFO ][logstash.inputs.jdbc     ][main][c83e8d1f6b7804752a187f901724097a9a068cb167d1e38d4139fec6dcb35702] (0.015012s) SELECT * FROM resultatatb 
[2024-03-08T10:12:00,691][INFO ][logstash.inputs.jdbc     ][main][d8a7fadba439d2a49d57371c460ed9d79ecd272fcb4a4e1889a43c80bffc6912] (0.050003s) SELECT * FROM stockreactif 
[2024-03-08T10:12:00,692][INFO ][logstash.inputs.jdbc     ][main][3f086a5cfca6f08cc5bd3a2585adada4a88d5e53a07704d261e2a16808f1dd58] (0.062975s) SELECT * FROM piecejoints
[2024-03-08T10:12:00,708][INFO ][logstash.inputs.jdbc     ][main][666bd71cddc0ff8828eb8ea08448b0a5cffc36e546222a6d33c543cf696e8fa4] (0.031285s) SELECT * FROM element_stock_reactif 
[2024-03-08T10:12:00,732][INFO ][logstash.inputs.jdbc     ][main][580f89da1beb3c6295e033ab6bb84311e3659c62af63f992c91f3d53dff25b35] (0.065525s) SELECT * FROM historique_stock_reactif 
[2024-03-08T10:12:16,110][INFO ][logstash.inputs.jdbc     ][main][3526f3b51287ffbb63dbf2b12e60c58866c3ef97c979e7c1caa6ae8ec0dc8943] (0.173207s) SELECT * FROM phrasiers
[2024-03-08T10:13:00,473][INFO ][logstash.inputs.jdbc     ][main][666bd71cddc0ff8828eb8ea08448b0a5cffc36e546222a6d33c543cf696e8fa4] (0.001995s) SELECT * FROM element_stock_reactif 
[2024-03-08T10:13:00,581][INFO ][logstash.inputs.jdbc     ][main][c83e8d1f6b7804752a187f901724097a9a068cb167d1e38d4139fec6dcb35702] (0.003443s) SELECT * FROM resultatatb 
